корпус;количество комнат;общая площадь;жилая площадь;стоимость
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,78;29,93;3361407,78
3;2;52,78;29,93;3361407,78
3;2;52,78;29,93;3361407,78
3;2;52,78;29,93;3361407,78
3;2;52,78;29,93;3361407,78
3;2;52,78;29,93;3361407,78
3;2;52,78;29,93;3361407,78
3;2;52,78;29,93;3361407,78
3;2;52,78;29,93;3361407,78
3;2;52,78;29,93;3361407,78
3;2;52,78;29,93;3361407,78
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;53,40;29,91;3400893,81
3;2;54,10;29,93;3445474,82
